Year,Month,USCPI
1913,1,9.8
1913,4,9.8
1913,7,9.9
1913,10,10.
1914,1,10.
1914,4,9.8
1914,7,10.
1914,10,10.1
1915,1,10.1
1915,4,10.
1915,7,10.1
1915,10,10.2
1916,1,10.4
1916,4,10.6
1916,7,10.8
1916,10,11.3
1917,1,11.7
1917,4,12.6
1917,7,12.8
1917,10,13.5
1918,1,14.
1918,4,14.2
1918,7,15.1
1918,10,16.
1919,1,16.5
1919,4,16.7
1919,7,17.4
1919,10,18.1
1920,1,19.3
1920,4,20.3
1920,7,20.8
1920,10,19.9
1921,1,19.
1921,4,18.1
1921,7,17.7
1921,10,17.5
1922,1,16.9
1922,4,16.7
1922,7,16.8
1922,10,16.7
1923,1,16.8
1923,4,16.9
1923,7,17.2
1923,10,17.3
1924,1,17.3
1924,4,17.
1924,7,17.1
1924,10,17.2
1925,1,17.3
1925,4,17.2
1925,7,17.7
1925,10,17.7
1926,1,17.9
1926,4,17.9
1926,7,17.5
1926,10,17.6
1927,1,17.5
1927,4,17.3
1927,7,17.3
1927,10,17.4
1928,1,17.3
1928,4,17.1
1928,7,17.1
1928,10,17.2
1929,1,17.1
1929,4,16.9
1929,7,17.3
1929,10,17.3
1930,1,17.1
1930,4,17.
1930,7,16.6
1930,10,16.5
1931,1,15.9
1931,4,15.5
1931,7,15.1
1931,10,14.9
1932,1,14.3
1932,4,13.9
1932,7,13.6
1932,10,13.3
1933,1,12.9
1933,4,12.6
1933,7,13.1
1933,10,13.2
1934,1,13.2
1934,4,13.3
1934,7,13.4
1934,10,13.5
1935,1,13.6
1935,4,13.8
1935,7,13.7
1935,10,13.7
1936,1,13.8
1936,4,13.7
1936,7,13.9
1936,10,14.
1937,1,14.1
1937,4,14.3
1937,7,14.5
1937,10,14.6
1938,1,14.2
1938,4,14.2
1938,7,14.1
1938,10,14.
1939,1,14.
1939,4,13.8
1939,7,13.8
1939,10,14.
1940,1,13.9
1940,4,14.
1940,7,14.
1940,10,14.
1941,1,14.1
1941,4,14.3
1941,7,14.7
1941,10,15.3
1942,1,15.7
1942,4,16.1
1942,7,16.4
1942,10,16.7
1943,1,16.9
1943,4,17.4
1943,7,17.4
1943,10,17.4
1944,1,17.4
1944,4,17.5
1944,7,17.7
1944,10,17.7
1945,1,17.8
1945,4,17.8
1945,7,18.1
1945,10,18.1
1946,1,18.2
1946,4,18.4
1946,7,19.8
1946,10,20.8
1947,1,21.5
1947,4,21.9
1947,7,22.2
1947,10,23.
1948,1,23.7
1948,4,23.8
1948,7,24.4
1948,10,24.4
1949,1,24.
1949,4,23.9
1949,7,23.7
1949,10,23.7
1950,1,23.5
1950,4,23.6
1950,7,24.1
1950,10,24.6
1951,1,25.4
1951,4,25.8
1951,7,25.9
1951,10,26.2
1952,1,26.5
1952,4,26.4
1952,7,26.7
1952,10,26.7
1953,1,26.6
1953,4,26.6
1953,7,26.8
1953,10,27.
1954,1,26.9
1954,4,26.8
1954,7,26.9
1954,10,26.8
1955,1,26.7
1955,4,26.7
1955,7,26.8
1955,10,26.9
1956,1,26.8
1956,4,26.9
1956,7,27.4
1956,10,27.5
1957,1,27.6
1957,4,27.9
1957,7,28.3
1957,10,28.3
1958,1,28.6
1958,4,28.9
1958,7,29.
1958,10,28.9
1959,1,29.
1959,4,29.
1959,7,29.2
1959,10,29.4
1960,1,29.3
1960,4,29.5
1960,7,29.6
1960,10,29.8
1961,1,29.8
1961,4,29.8
1961,7,30.
1961,10,30.
1962,1,30.
1962,4,30.2
1962,7,30.3
1962,10,30.4
1963,1,30.4
1963,4,30.5
1963,7,30.7
1963,10,30.8
1964,1,30.9
1964,4,30.9
1964,7,31.1
1964,10,31.1
1965,1,31.2
1965,4,31.4
1965,7,31.6
1965,10,31.7
1966,1,31.8
1966,4,32.3
1966,7,32.5
1966,10,32.9
1967,1,32.9
1967,4,33.1
1967,7,33.4
1967,10,33.7
1968,1,34.1
1968,4,34.4
1968,7,34.9
1968,10,35.3
1969,1,35.6
1969,4,36.3
1969,7,36.8
1969,10,37.3
1970,1,37.8
1970,4,38.5
1970,7,39.
1970,10,39.4
1971,1,39.8
1971,4,40.1
1971,7,40.7
1971,10,40.9
1972,1,41.1
1972,4,41.5
1972,7,41.9
1972,10,42.3
1973,1,42.6
1973,4,43.6
1973,7,44.3
1973,10,45.6
1974,1,46.6
1974,4,48.
1974,7,49.4
1974,10,51.1
1975,1,52.1
1975,4,52.9
1975,7,54.2
1975,10,54.9
1976,1,55.6
1976,4,56.1
1976,7,57.1
1976,10,57.9
1977,1,58.5
1977,4,60.
1977,7,61.
1977,10,61.6
1978,1,62.5
1978,4,63.9
1978,7,65.7
1978,10,67.1
1979,1,68.3
1979,4,70.6
1979,7,73.1
1979,10,75.2
1980,1,77.8
1980,4,81.
1980,7,82.7
1980,10,84.8
1981,1,87.
1981,4,89.1
1981,7,91.6
1981,10,93.4
1982,1,94.3
1982,4,94.9
1982,7,97.5
1982,10,98.2
1983,1,97.8
1983,4,98.6
1983,7,99.9
1983,10,101.
1984,1,101.9
1984,4,103.1
1984,7,104.1
1984,10,105.3
1985,1,105.5
1985,4,106.9
1985,7,107.8
1985,10,108.7
1986,1,109.6
1986,4,108.6
1986,7,109.5
1986,10,110.3
1987,1,111.2
1987,4,112.7
1987,7,113.8
1987,10,115.3
1988,1,115.7
1988,4,117.1
1988,7,118.5
1988,10,120.2
1989,1,121.1
1989,4,123.1
1989,7,124.4
1989,10,125.6
1990,1,127.4
1990,4,128.9
1990,7,130.4
1990,10,133.5
1991,1,134.6
1991,4,135.2
1991,7,136.2
1991,10,137.4
1992,1,138.1
1992,4,139.5
1992,7,140.5
1992,10,141.8
1993,1,142.6
1993,4,144.
1993,7,144.4
1993,10,145.7
1994,1,146.2
1994,4,147.4
1994,7,148.4
1994,10,149.5
1995,1,150.3
1995,4,151.9
1995,7,152.5
1995,10,153.7
1996,1,154.4
1996,4,156.3
1996,7,157.
1996,10,158.3
1997,1,159.1
1997,4,160.2
1997,7,160.5
1997,10,161.6
1998,1,161.6
1998,4,162.5
1998,7,163.2
1998,10,164.
1999,1,164.3
1999,4,166.2
1999,7,166.7
1999,10,168.2
2000,1,168.8
2000,4,171.3
2000,7,172.8
2000,10,174.
2001,1,175.1
2001,4,176.9
2001,7,177.5
2001,10,177.7
2002,1,177.1
2002,4,179.8
2002,7,180.1
2002,10,181.3
2003,1,181.7
2003,4,183.8
2003,7,183.9
2003,10,185.
2004,1,185.2
2004,4,188.
2004,7,189.4
2004,10,190.9
2005,1,190.7
2005,4,194.6
2005,7,195.4
2005,10,199.2
2006,1,198.3
2006,4,201.5
2006,7,203.5
2006,10,201.8
2007,1,202.416
2007,4,206.686
2007,7,208.299
2007,10,208.936
2008,1,211.08
2008,4,214.823
2008,7,219.964
2008,10,216.573
2009,1,211.143
2009,4,213.24
2009,7,215.351
2009,10,216.177
2010,1,216.687
2010,4,218.009
2010,7,218.011
2010,10,218.711
2011,1,220.223
2011,4,224.906
2011,7,225.922
2011,10,226.421
2012,1,226.665
2012,4,230.085
2012,7,229.104
2012,10,231.317
2013,1,230.28
2013,4,232.531
2013,7,233.596